No.,Product,Link,Price
156,Floydeez Mabuyu Sweet 100G,https://naivas.onlinehttps://naivas.online/floydeez-mabuyu-sweet-100g,KES 100
157,Floydeez Mabuyu Sweet Chilli 100G,https://naivas.onlinehttps://naivas.online/floydeez-mabuyu-sweet-chilli-100g,KES 100
158,Fresh Menthol Gums 12Tabs,https://naivas.onlinehttps://naivas.online/fresh-menthol-gums-12tabs,KES 50
159,Gnomis Fried Peanut 50G,https://naivas.onlinehttps://naivas.online/gnomis-fried-peanut-50g,KES 30
160,Gnomis Masala Peanuts 400G,https://naivas.onlinehttps://naivas.online/gnomis-masala-peanuts-400g,KES 220
161,Halidram'S Bhakarwadi Mini 150G,https://naivas.onlinehttps://naivas.online/halidram-s-bhakarwadi-mini-150g,KES 245
162,Halidram'S Ratlami Sev 150G,https://naivas.onlinehttps://naivas.online/halidram-s-ratlami-sev-150g,KES 245
163,Kenafric Assorted Toffee Jar,https://naivas.onlinehttps://naivas.online/kenafric-assorted-toffee-jar,KES 295
164,Krackles Ola Lightly Salted 40G,https://naivas.onlinehttps://naivas.online/krackles-ola-lightly-salted-40g,KES 65
165,Kripsii Chilli Lemon Crisps 100G,https://naivas.onlinehttps://naivas.online/kripsii-chilli-lemon-crisps-100g,KES 120
166,Kripsii Chilli Lemon Crisps 250G,https://naivas.onlinehttps://naivas.online/kripsii-chilli-lemon-crisps-250g,KES 275
167,Kripsii Chilli Lemon Crisps 25G,https://naivas.onlinehttps://naivas.online/kripsii-chilli-lemon-crisps-25g,KES 30
168,Kripsii Chilli Lemon Crisps 50G,https://naivas.onlinehttps://naivas.online/kripsii-chilli-lemon-crisps-50g,KES 60
169,Tropical Heat Potato Crisps Salt & Vinegar 400g,https://naivas.onlinehttps://naivas.online/tropical-heat-potato-crisps-salt-vinegar-400g,KES 445
170,Tropical H/Chilli&Lemon Crisps 50G,https://naivas.onlinehttps://naivas.online/tropical-heat-potato-crisps-chilli-lemon-50g,KES 60
171,Tropical Heat Potato Crisps Chilli & Lemon 400g,https://naivas.onlinehttps://naivas.online/tropical-heat-potato-crisps-chilli-lemon-400g,KES 445
172,Tropical Heat Potato Crisps Cheese & Onion 400g,https://naivas.onlinehttps://naivas.online/tropical-heat-potato-crisps-cheese-onion-400g,KES 445
173,Nuttish Land Macadamia Nuts 50G,https://naivas.onlinehttps://naivas.online/nuttish-land-macadamia-nuts-50g,KES 165
174,Wow Tomato 200g,https://naivas.onlinehttps://naivas.online/wow-tomato-200g,KES 120
175,Dairyland Dark Milk Chocolate 40g,https://naivas.onlinehttps://naivas.online/dairyland-dark-milk-chocolate-40g,KES 95
176,Dairyland Salted Caramel Chocolate 40g,https://naivas.onlinehttps://naivas.online/dairyland-salted-caramel-chocolate-40g,KES 95
177,Dairyland White Cookies Chocolate 80g,https://naivas.onlinehttps://naivas.online/dairyland-white-cookies-chocolate-80g,KES 189
178,Dairyland Dark Milk Chocolate 80g,https://naivas.onlinehttps://naivas.online/dairyland-dark-milk-chocolate-80g,KES 189
179,Dairyland Salted Caramel Chocolate 80g,https://naivas.onlinehttps://naivas.online/dairyland-salted-caramel-chocolate-80g,KES 189
180,Dairyland Hazelnut Chocolate 80g,https://naivas.onlinehttps://naivas.online/dairyland-hazelnut-chocolate-80g,KES 189
181,Dairyland Milk & Cookies Chocolate 80g,https://naivas.onlinehttps://naivas.online/dairyland-milk-cookies-chocolate-80g,KES 189
182,Dairyland Hazelnut Chocolate 40g,https://naivas.onlinehttps://naivas.online/dairyland-hazelnut-chocolate-40g,KES 95
183,Dairyland Real White Chocolate 80g,https://naivas.onlinehttps://naivas.online/dairyland-real-white-chocolate-80g,KES 189
184,Greenforest Peeled Peanuts-Salted 50G,https://naivas.onlinehttps://naivas.online/green-forest-peanuts-peeled-roasted-salted-50g,KES 49
185,Dairyland Berry Bliss Chocolate 37G,https://naivas.onlinehttps://naivas.online/dairyland-berry-bliss-chocolate-37g,KES 70
186,Dairyland Berry Bliss Chocolate 80g,https://naivas.onlinehttps://naivas.online/dairyland-berry-bliss-chocolate-80g,KES 180
187,Dairyland Double Chocolate 37G,https://naivas.onlinehttps://naivas.online/dairyland-double-chocolate-37g,KES 70
188,Dairyland Double Chocolate 80g,https://naivas.onlinehttps://naivas.online/dairyland-double-chocolate-80g,KES 180
189,Dairyland Mint Chocolate 37G,https://naivas.onlinehttps://naivas.online/dairyland-mint-chocolate-37g,KES 70
190,Elbbin M/Grain Wavy Chips Barbeque 35G,https://naivas.onlinehttps://naivas.online/elbbin-multigrain-wavy-chips-barbeque-35g,KES 60
191,Elbbin Potato Chipsticks Tomato Ketchup 70g,https://naivas.onlinehttps://naivas.online/elbbin-potato-chipsticks-tomato-ketchup-70g,KES 95
192,Elbbin Potato Chipsticks Salt & Vinegar 70g,https://naivas.onlinehttps://naivas.online/elbbin-potato-chipsticks-salt-vinegar-70,KES 95
193,Elbbin Potato Chipsticks Cheese Burger 70g,https://naivas.onlinehttps://naivas.online/elbbin-potato-chipsticks-cheese-burger-70g,KES 95
194,McVitie's DigestiveLight 250g,https://naivas.onlinehttps://naivas.online/mcvitie%27s-digestivelight-250g,KES 300
195,P.K Juicy Fruit 10 S,https://naivas.onlinehttps://naivas.online/pk-juicy-fruit-10-pellets,KES 27
196,P.K Menthol 10S,https://naivas.onlinehttps://naivas.online/pk-menthol-10-pellets,KES 27
197,P.K Peppermint 10S,https://naivas.onlinehttps://naivas.online/pk-peppermint-10-pellets,KES 27
198,Amigos Chevda 100g,https://naivas.onlinehttps://naivas.online/amigos-chevda-100g,KES 105
199,Amigos Chevda 200g,https://naivas.onlinehttps://naivas.online/amigos-chevda-200g,KES 207
200,Amigos Chevda 50Gms,https://naivas.onlinehttps://naivas.online/amigos-chevda-50g,KES 56
201,Amigos C/Chips C&O 20Gm,https://naivas.onlinehttps://naivas.online/amigos-corn-chips-cheese--onion-20g,KES 15
202,Amigos C/Chips S&V 100Gm,https://naivas.onlinehttps://naivas.online/amigos-corn-chips-salt--vinegar-100g,KES 56
203,Amigos Salted Corn Chips 100G,https://naivas.onlinehttps://naivas.online/amigos-corn-chips-salted-100g,KES 59
204,Amigos Potato Crisps Cheese & Onion 100g,https://naivas.onlinehttps://naivas.online/amigos-potato-crisps-cheese-onion-100g,KES 104
205,Amigos Potato Crisps Salted 100g,https://naivas.onlinehttps://naivas.online/amigos-potato-crisps-salted-100g,KES 101
206,Amigos Potato Crisps Salted 200g,https://naivas.onlinehttps://naivas.online/amigos-potato-crisps-salted-200g,KES 197
207,Amigos Salted Crisps 50G,https://naivas.onlinehttps://naivas.online/amigos-potato-crisps-salted-50g,KES 54
208,Depy'S Peanuts Roasted 200g,https://naivas.onlinehttps://naivas.online/depy-s-peanuts-roasted-200g,KES 155
209,Depy'S Potato Crisps Cheese & Onion 100g,https://naivas.onlinehttps://naivas.online/depy-s-potato-crisps-cheese--onion-100g,KES 115
210,Depy'S Roasted Peanuts 100g,https://naivas.onlinehttps://naivas.online/depy-s-roasted-peanuts-100g,KES 85
211,Haldirams Moong Dal 150g,https://naivas.onlinehttps://naivas.online/haldirams-moong-dal-150g,KES 245
212,Krackles Potato Crisps Bar-B-Que 125g,https://naivas.onlinehttps://naivas.online/krackles-potato-crisps-bar-b-que-125g,KES 200
213,Krackles Potato Crisps Perfectly Salted 125g,https://naivas.onlinehttps://naivas.online/krackles-potato-crisps-perfectly-salted-125g,KES 200
214,Krackles Potato Crisps Tangy Tomato 125g,https://naivas.onlinehttps://naivas.online/krackles-potato-crisps-tangy-tomato-125g,KES 200
215,Krackles Potato Crisps Tingly Cheese & Onion 125g,https://naivas.onlinehttps://naivas.online/krackles-potato-crisps-tingly-cheese--onion-125g,KES 200
216,Krackles Potato Crisps Zingy Salt & Vinegar 125g,https://naivas.onlinehttps://naivas.online/krackles-potato-crisps-zingy-salt--vinegar-125g,KES 200
217,M & M'S Peanut 45g,https://naivas.onlinehttps://naivas.online/m-ms-peanut-45g,KES 225
